Utility,Contaminant_Factor,Zip,county_FIPS
City of Chandler,2776,85026,
City of Peoria,2529,85026,
City of Avondale,1910,85026,
Epcor Water - Agua Fria,3990,85026,
Village of Orangewood,1067,85027,
Tolleson City of,483,85037,
67 Ave. Property Owners Association,1138,85043,
Adjc Adobe Mountain School,1711,85083,
Pioneer Rv Resort,1427,85086,
Shangri La Ranch,2801,85087,
Queen Valley Domestic Water Improvement District,348,85118,
Arizonian Travel Trailer,701,85118,
City of Apache Junction,2295,85119,
Northern Section 4 Co-op,897,85119,
Sunland Water Company,1990,85123,
Johnson Utilities,1411,85128,
Arizona Training Program,1540,85128,
Silverbell Irrigation & Drainage District,4156,85131,
Picacho Water Company,1801,85131,
Correctional Corporation of Am - Eloy Detention,1145,85131,
Villa Grande Domestic Water Improvement District,999,85131,
Golden Corridor Water Company Inc.,2110,85131,
Picacho Peak Water Company,555,85131,
Johnson Utility - Anthem At Merrill Ranch,623,85132,
Tonto Basin Water - Cactus Forest,4716,85132,
Adoc Eyman Unit,399,85132,
Adoc Florence Asp,590,85132,
Hayden Town of,194,85135,
Kearny Town of,311,85137,
Kelvin Simmons Co-op,954,85137,
Bidegain Water Company,42,85137,
Breezeway Trailer Park,80,85137,
Saguaro Mobile Home Park,33,85137,
Maricopa Mountain Domestic Water Improvement District 1,1205,85138,
Valle Escondido Domestic Water Improvement District,1912,85138,
Seven Ranch Domestic Water Improvement District,2306,85138,
Maricopa Domestic Water Improvement District,1980,85138,
Goodyear Water Department,2912,85139,
Thunderbird Farms Domestic Water Improvement District,2514,85139,
Papago Butte Domestic Water Improvement District,1374,85139,
Antelope Peak Domestic Water Improvement District,1724,85139,
American Realty Mortgage Company,7154,85139,
Ranches At Maricopa Water,1021,85139,
Sun Valley Farms Unit Vi,83,85140,
Town of Queen Creek,1040,85140,
Skyline Resort Rv Park,734,85140,
Eloy City of,1527,85141,
Chandler Heights Citrus Irrigation District,2204,85142,
Diversified Water Utilities Inc.,553,85143,
Lago Del Oro Water Company,1067,85191,
Indian Hills Estates,1382,85192,
Aravaipa Water Company,652,85192,
Casa Grande West Water Company,177,85193,
Casa Grande South Water Company,2046,85193,
Signal Peak Water Company,2129,85194,
Arizona Dairy Company Llp,1619,85212,
Pima Utilities,1479,85248,
Gilbert Rigg Well Co-op,634,85249,
Peekaboo Water Co-op,2402,85249,
Berneil Water Company,2433,85253,
Rio Verde Utilities,64,85255,
Carefree Water Company,1128,85262,
Tonto Hills Domestic Water Improvement District,2290,85262,
Alma Ranchettes,661,85286,
The Oaks Mobile Home Park,30,85286,
Germann Water Users Association,76,85286,
Sontel Trust Water Co-op,86,85296,
Greenfield Ranchettes,2474,85298,
Liberty Water Lpsco,3811,85307,
Hacienda Del Sol Mobile Home Park,1612,85307,
City of El Mirage,2600,85307,
Epcor Water - Sun City,4702,85307,
Adaman Mutual Water Company,1719,85309,
Ajo Improvement Company,679,85321,
Ajo Domestic Water Improvement District,772,85321,
Why Domestic Water Improvement District,1743,85321,
Coldwater Canyon 1,4694,85324,
City of Buckeye Sonora - Sundance,5473,85326,
Clearwater Utility Company Inc.,1550,85326,
Buckeye City of,1900,85326,
Aspc Lewis Complex Water System,52,85326,
Hopeville Water System,842,85326,
Grandview Water Company,767,85326,
Country Home Mobile Home Park,230,85326,
Triple G Dairy,27,85326,
Buckeye Acres Mobile Home Park,398,85326,
Escapees At North Ranch,74,85332,
Wickenburg Ranch Estates,723,85332,
Cibola Mutual Water Company,1136,85334,
City of Surprise - Mountain Vista,2718,85335,
Paloma Ranch,134,85337,
Tierra Buena Water Company,2370,85340,
City of Tucson,765,85341,
Metropolitan DWID,373,85341,
Community WC of Green Valley,1471,85341,
Sahuarita Water Company,2177,85341,
Flowing Wells Irrigation District,972,85341,
USAF Davis Monthan AFB,521,85341,
Vail Water Company,1002,85341,
Green Valley Domestic Water Improvement District,1782,85341,
Tucson Water Corona De Tucson,947,85341,
Morristown Water Company,2230,85342,
Brooke Water LLC - Circle City Water Company,4998,85342,
Wickenburg Town of,994,85342,
Ehrenberg Improvement Association,603,85344,
Cienega Water Company Inc.,1584,85344,
Hillcrest Water Company,36,85344,
Q Mountain Water Company,263,85346,
Q Mountain Vista Mobile Home Park,714,85346,
Mohawk Valley School District,1119,85347,
Salome Water Company,512,85348,
City of Somerton,587,85350,
Aspc Yuma,30,85350,
City of San Luis,1474,85350,
Valley Vista Water Company,9,85350,
Tacna Water Management Company,5982,85352,
Mohawk Utility Company,1286,85352,
Water Utility of Greater Tonopah Garden,5737,85354,
Belmont Mountain Dairy,282,85354,
Wugt - West Phoenix Estates 6 Domestic Water Improvement District,988,85354,
Roseview Water Company,385,85354,
Wugt B D Buckeye Ranch Domestic Water Improvement District,1424,85354,
Dixie Water Company,2194,85354,
Vwc Buckeye Div - Sonoran Ridge,7053,85355,
Olive Avenue Homeowners Association,1612,85355,
Antelope Water Company,1107,85356,
Citrus Park Water Company,4612,85356,
City of Lake Havasu,2346,85360,
Kingman Municipal Water,2066,85360,
Epcor Water - Mohave,490,85360,
Bermuda Water Company Inc,1024,85360,
Valley Pioneers Water Company Inc.,2144,85360,
Patton Place Estates,698,85361,
Peak View Ranch,709,85361,
Mobile Gardens Domestic Water Improvement District,719,85361,
West End Water Company - Wheat,24,85361,
Beardsley Water Company 1,857,85361,
Rancho Wells Inc.,13,85361,
River Rv Ranch,529,85364,
Fishers Landing Resort,1566,85365,
Far West Water & Sewer Inc,1828,85365,
U.S. Army Ypg Main Administrative Area,90,85365,
Rancheros Bonitos Water Company,142,85365,
Shepard Water Company,3211,85365,
Jones Co-op Water Association,2132,85365,
G & L Mobile Park,87,85365,
Tierra Mesa Estates Water Company,156,85365,
Yuma Lakes Resort,4300,85365,
Sierra Pacific Mobile Manor,5200,85365,
Sun Leisure Estates Utilities Company,719,85365,
Laguna Mobile Home and Rv Park,2011,85365,
Sunset Mobile Home Park,1250,85365,
Yuma West Mobile Home Park,704,85365,
City of Yuma,1373,85367,
Bouse Dwid,2772,85371,
Desert Sky Dwid,573,85371,
Harrisburg Utility Company,1092,85371,
Parker Town of,84,85371,
Quartzsite Town of,603,85371,
Wenden Domestic Water Improvement District,2586,85371,
Epcor Water - Tierra Del Rio,2258,85373,
Epcor Water - North East Agua Fria,3311,85375,
Vistancia Public Water System,1541,85375,
Saguaro Acres Cfd,1053,85375,
Rose Valley Water Company,1298,85382,
Saguaro View Mgmt Company,1082,85387,
Desert Oasis,1524,85387,
Two Tanks Community Well,558,85387,
Country Club Acres Water Inc.,112,85390,
Caballeros Water Company,1673,85390,
G Lazy B Mobile Home Park,18,85390,
Stonehedge Estates,1037,85390,
Aguila Water Service,13,85390,
Festival Ranch,1929,85396,
Holiday Hills Mobile Home Park,10,85501,
Pueblo Heights Mobile Home Park,53,85501,
August Hills Mobile Home Park,52,85501,
Apache Trail Mobile Home Park,559,85501,
H A V Properties LLC,269,85501,
Adoc Aspc Fort Grant,13,85530,
Ash Creek Water Company,0,85530,
City of Safford,1690,85530,
Eden Water Company Inc.,1888,85530,
Graham County Utilities - Pima,3754,85530,
U.S. Department of Justice Federal Bureau of Prisons Federal Correctional Instit,2,85530,
Town of Payson,1027,85532,
Pine Strawberry Domestic Water Improvement District,722,85532,
Globe City of,529,85532,
Town of Star Valley Water Department,331,85532,
Verde Lee Water Company,1680,85533,
Loma Linda Water Company,24,85533,
Duncan Town of,591,85534,
Glen Acres Water Co-op,1485,85534,
Hunter Water Town of Duncan,1418,85534,
Lordsburg Water Supply System,269,85534,
Morenci Water & Electric Company Clifton,732,85534,
Rodeo Mdw & Mswa,1252,85534,
Virden Water System,1586,85534,
Gardner Water Company,2,85541,
Christopher Creek Haven,106,85541,
Beaver Valley Water Company,784,85541,
Tonto Creek Water Company,1,85541,
Tonto Village Water Company,2,85541,
Payson Water - Deer Creek,10136,85541,
Lamplighter Rv Resort,106,85541,
Jakes Corner Water System,1772,85541,
Ponderosa Glen Mobile Home Park,169,85541,
Star Valley Motel and Mobile Home Park,1039,85541,
Pine Creek Canyon Dwid,698,85544,
Solitude Trails Domestic Water Improvement District,748,85544,
Strawberry Hollow Dwid,358,85544,
Roosevelt Resort Llc,642,85545,
Quail Run Water System,805,85545,
Arroyo Water Company,38,85553,
Empirita Water Company,1052,85602,
Mescal Lakes Water System,18,85602,
Whetstone Ranch Water System,574,85602,
Willow Lakes Property Owners Association,69,85602,
Naco Water Company Bisbee,144,85603,
Twin Buttes Trailer Park,939,85603,
Bella Vista City Water System,192,85606,
US Army Fort Huachuca,468,85606,
City of Douglas,1102,85606,
Pueblo Del Sol Water Company,18,85606,
Benson City of Water System,1635,85606,
City of Willcox,1153,85606,
Bisbee Douglas Intl Airport,476,85606,
La Costa Water Users Association,409,85607,
Cochise College Park Water Association,532,85607,
Monte Vista Water Company,2509,85607,
Holiday Water Company,1124,85610,
Sunizona Water Company,30,85610,
Sonoita Valley (south) Water Company,986,85611,
Town of Huachuca City,6,85613,
Quail Creek Water Company,421,85614,
Valle Verde Del Norte,95,85614,
Farmers Water Co. Sahuarita Highlands,2530,85614,
Southern Sunrise Water Company Cochise Horseshoe,40,85615,
Palominas Water Sewer Cooperative,806,85615,
East Slope Water - West,127,85615,
Whetstone Domestic Water Improvement District,850,85616,
Sulger Water Company 2,887,85616,
Desert Winds Mobile Park,25,85616,
Ashley Rose Mobile Home Park,676,85616,
Mcneal Water Company,35,85617,
Ntm Aviation,7,85617,
Naco Estates,539,85620,
Liberty Water Rio Rico,1111,85621,
Valle Verde Water Company - East,1926,85621,
Kino Ranch 2,2254,85621,
Town & Country - Preston,338,85621,
Mi Casa Rv Campground,2578,85621,
Mammoth Town of,77,85623,
Red Rock Acres Homeowners Association,290,85624,
Las Quintas Serenas Water Company,1651,85629,
Shiloh Water Company,1844,85629,
Sahuarita Village Water,27,85629,
Los Arboles Mobile Home Park,3,85629,
Sahuarita Heights Mobile Home Park,38,85629,
St. David Domestic Water Improvement District,666,85630,
Stratman Water Company,1243,85630,
Kokopelli Springs Resort,15,85630,
Cloud Nine Water Company,175,85635,
Sierra Vista Mobile Home Village,7,85635,
Sunrise Mobile Home Park,32,85635,
Casa Arroyo Association Inc.,46,85637,
Tombstone City of,2388,85638,
Avalon Gardens Water System,547,85640,
Baca Float Water Company,1305,85640,
Saguaro Water Company,50,85641,
Pantano Water Co-op,4,85641,
Dome Well Co-op,315,85641,
Mount Fagan Water Co-op,1170,85641,
Pocketknife Water Co-op,1111,85641,
Rincon Mesa Landowners,5,85641,
Superstition Water Company,563,85641,
Kahlua Well Co-op,1321,85641,
Garigons Gulch Water Co-op,893,85641,
Spanish Trail Water Company,17,85641,
Winchester Water Company,631,85643,
Pita Water Company,1647,85645,
Aliso Springs Property Owner Association Inc.,1822,85646,
Southland Utilities - Golden Acres,10,85650,
Marana Domestic Water Improvement District - Culver,41,85653,
Tucson Water Rancho Del Sol Lindo,1153,85653,
Anway Manville Water Company,776,85653,
Rancho Tierra Blanca Property Owners Association,8,85653,
Rillito Water Users Association,65,85653,
Marana Municipal - Airline Lambert,7876,85653,
Lyn Lee Water Company,66,85653,
Marana Correctional Facility,1214,85653,
Avra Water Co-op Inc.,1866,85653,
Davis Ranch Land Owners,18,85658,
Mesaland Water Company,11,85704,
Samalayucca Improvement Association,13,85704,
Mission Palms Apartments,70,85704,
Casitas De Castilian,21,85704,
Oracle North Homeowners Association,832,85704,
Villa Capri Mobile Home Park,67,85705,
Diamond Grove Mobile Home Estates,73,85705,
Crescent Manor Mobile Home Park,18,85705,
Desert Shores Rv Mobile Home Park,33,85705,
Silver Cholla Mobile Home Park,119,85705,
Bermuda Gardens Trailer Park,340,85705,
North La Cholla Mobile Home Park,49,85705,
Ray Water Company Inc.,8,85706,
Town Country Mobile Home Park,5,85706,
Ranchwood Mobile Park Community,27,85706,
Emery Park Mobile Home Park,7,85706,
Via Verde West Mobile Home Park,7,85706,
Halcyon Acres Water Users Association 1,38,85710,
Halcyon Acres 2,12,85710,
Far Horizons East Mobile Home Park,15,85710,
Catalina Village,153,85711,
Far Horizons Mobile Home Park,25,85712,
Crossroads Park Mobile Home Park,9,85712,
Cammies Foothills Vista Mobile Home Community,24,85712,
Sierra Court Trailer Park,10,85714,
Winterhaven Water Development,98,85716,
Rio Vista Mobile Home Park,69,85716,
Vista Del Norte Mobile Home Park,24,85719,
Campbell Estates Mobile Home Park,63,85719,
Rincon Country East Rv,28,85730,
Thim Utility Company,1182,85735,
Metropolitan Domestic Water Improvement District - Diablo Village,1026,85735,
Worden Water Company,1308,85735,
Thim Water Corporation 2,810,85735,
Tucson Water Valley View Acres,423,85736,
Mirabell Water Company,23,85736,
Rancho Sierrita Well Association,1590,85736,
Raindance Water Co-op,26,85736,
Desert Water Co-op,8,85736,
Sierrita Mountain Water Co-op,15,85736,
Wildflower Water Co-op,40,85736,
Tucson Water Sierrita Foothills,3330,85736,
Deep Well Co-op,1337,85736,
Wells Fargo Water Company,12,85736,
Francesca Water Co. Amber Ann,3122,85736,
Los Cerros Water Company Inc.,45,85739,
Goodman Water Company,663,85739,
Tucson Water Catalina,11,85739,
Mesquite Well Group,12,85739,
Coronado Forest Drive Water Co-op,9,85739,
Catalina Country Mobile,9,85739,
Orchard Valley Mobile Home Park,68,85739,
Lazy A Mobile Home Park,18,85739,
Sieta Casa Joint Venture,55,85741,
Carolanne Drive Homeowners Association,23,85741,
Oro Valley Water Countryside,50,85742,
Gator Water,1170,85742,
Pico Vista Community Well,1446,85742,
Sandario Water Company,195,85743,
Rancho Del Conejo Community Water Co-op,2116,85743,
Tierra Linda Homeowners Association Water Company,2277,85743,
Lazy C Water Services,1802,85745,
Tucson Water Thunderhead,33,85747,
Cactus Country Rv Resort,8,85747,
La Cholla Airpark,346,85755,
La Casita Water Company 1,2259,85756,
Adoc Tucson,1067,85756,
Trails West Mobile Home Park,691,85756,
Voyager Water Company,623,85756,
Mobile Home Properties,1552,85756,
Klafter Well Co-op,623,85756,
Wilmot Water Users Group,710,85756,
Lazy Acres Mobile Home Park,986,85756,
Voyager At White Mountain Lakes WC,18,85901,
Cedar Grove Water Company,2,85901,
Mountain Glen Water Servic Linden Trails,1924,85901,
Timberland Acres Domestic Water Improvement District,425,85901,
Watco Water,548,85901,
Lord Az Water Wilderness,810,85901,
Navajo Water - Chaparral Pines,7023,85901,
American Indian Christian Mission,984,85901,
Show Low Crossroads Homeowners Association,582,85901,
Timber Knoll Domestic Water Improvement District,1602,85901,
Timberline Mobile Home Park,1,85901,
Country Lane Trailer Park,30,85901,
City of Show Low,1755,85902,
Winslow City of,36,85902,
Snowflake Town of,356,85902,
Old Concho Water Users,696,85924,
Springerville Town of,868,85925,
Alpine Domestic Water Improvement District,1,85927,
Aspc Apache,532,85927,
Eagar Town of,1250,85927,
Livco Water Company,696,85927,
Lord Az Water 2 - Winchester Trails,530,85927,
Ojo Bonito Estates Domestic Water Improvement District,1,85927,
Pinecrest Water Company,3,85927,
Sanders School District,55,85927,
St. Johns City of,69,85927,
Vernon Domestic Water Improvement District,37,85927,
Vernon Valley Water System,3,85927,
High Country Pines Water Company,11,85928,
Heber Domestic Water Improvement District,21,85928,
Buckskin Artists Community,942,85928,
Porter Mountain Domestic Water Improvement District,43,85929,
Misty Mountain Domestic Water Improvement District,519,85929,
Porter Creek Domestic Water Improvement District,43,85929,
Wonderland Acres Domestic Water Improvement District,28,85929,
Sky Hi Domestic Water Improvement District,2,85929,
Running Bear Mobile Resort,14,85929,
Pinetop Water Community Facilities District,525,85929,
Clay Springs Domestic Water Improvement District,18,85934,
Ponderosa Domestic Water Improvement District,99,85935,
A Petersen Water Company,393,85937,
Sweetwater Ranch - Town of Taylor,3781,85939,
Flagstaff Ranch Water Company,1353,86001,
Forest Highlands Water Company,1075,86001,
Kachina Village Domestic Water Improvement District,9,86001,
Doney Park Water,314,86001,
Lake Mary Country Store,9,86001,
Heckethorn Water Company,679,86001,
West Village Water Company,1228,86001,
Mountain Dell Water Inc.,19,86001,
Hidden Hollow Mobile Home Community,1465,86001,
Utility Source Llc,1493,86001,
City of Flagstaff,1473,86003,
Grand Canyon National Park,1277,86003,
Page City of,1221,86003,
Centennial Park Domestic Water Improvement District,1165,86022,
Adot Airport Grand Canyon,162,86023,
Hydro Resources-tusayan,29,86023,
Woodruff Domestic Water Company Inc.,57,86025,
Holbrook City of,62,86029,
Greenehaven Water Company,21,86040,
Valle Airport Grand Canyon,192,86046,
Granite Dells Water Company,391,86301,
Granite Park Homeowners Association,1710,86301,
Dells Water Company Inc.,51,86301,
Cactus Mobile Ranch,494,86301,
Prescott Valley WD Upper,1747,86301,
Bradshaw Water Company Inc.,1665,86303,
Groom Creek Water Users,352,86303,
Sherman Pines Water Company,255,86303,
Pinehurst Water Company,352,86303,
Icr Water Users Association,1354,86305,
Inscription Canyon Ranch Water System,987,86305,
Granite Oaks Water Users Association,80,86305,
Highland Pine Domestic Water Improvement District,1728,86305,
American Ranch Domestic Water Improvement District,963,86305,
Jackson Acres Domestic Water Improvement District,35,86305,
Beverly Gardens Trailer Park,1918,86305,
City of Prescott,1619,86314,
Mingus West Water System,38,86314,
Lake Verde Water Company,1457,86322,
Verde Lakes Water - Big Valley,1503,86322,
Montezuma Heights Water,2378,86322,
White Hills Trailer Park,875,86322,
Rainbow Acres,861,86322,
Green Valley Mobile Home Park,1585,86322,
Clear Creek Mobile Home,1752,86322,
Chino Meadows II,16,86323,
Appaloosa Water Company,1379,86323,
Quail Ridge Domestic Water Improvement District,2027,86323,
Acme Water - Yavapai Estates,1192,86323,
Road Runner Mobile Home Park,25,86323,
Chino Valley Park,139,86323,
Manneken Apartments,1729,86323,
Cottonwood Municipal Water Cw1,10078,86324,
Bent River Apt Enchantment Resort,1502,86324,
On The Greens,427,86324,
Oak Creek Public Service LLC,1878,86325,
Oak Creek Valley,1333,86325,
Cordes Lakes Water Company,401,86326,
Camp Verde Water System,4258,86326,
Clarkdale Municipal Water System,1338,86326,
Verde Valley Manor,750,86326,
Rio Verde Rv Park,5025,86326,
C-oasis Park,11,86326,
White Horse Ranch Owners Association,1682,86327,
Mingus Mountain Academy,1684,86327,
Humboldt Water System,1486,86327,
Acme Water - Blue Hills,1322,86327,
Softwinds Mobile Home Park,2307,86327,
Walden Meadows Community Co-op,33,86332,
Peeples Valley Water Company,635,86332,
Acme Water - Thunderbird Meadows,641,86332,
Yavapai Country Club Estates Water Co.,564,86332,
Kirkland Mobile Home Park,1211,86332,
Arcosanti Camp,1059,86333,
Bradshaw Mountainview Water,1139,86333,
The Orme School of Arizona,12,86333,
Chimney Estates,1475,86333,
Montezuma Rimrock Water Company,1467,86335,
Beaver Creek Store,711,86335,
Oak Creek Water Company 1,2376,86336,
Sedona Venture Water Company,642,86336,
Cross Creek Ranch,1365,86336,
Cup of Gold Water Company,1,86336,
Michaels Ranch Water Users Association,711,86336,
Oak Creek Utility Corporation,1771,86336,
Cathedral Vista Water Company,1929,86336,
Cathedral Rock Estates Water Co-op,1191,86336,
Living Springs Mobile Home Park - Rainbow Trout Farm,4,86336,
Red Rock Crossing Mobile Village,2,86336,
Big Park Water Company,3395,86338,
Freeport Mcmoran Bagdad Town,1735,86338,
Crown King Water Company,697,86343,
Valley Vista,560,86351,
Little Park Water Company,1574,86351,
Pine Valley Water Company,1496,86351,
Truxton Canyon Water Company,2251,86401,
Ranch Water Service Inc.,1146,86401,
Walnut Creek Water Company,2368,86401,
Epcor Water - Lake Havasu,3691,86403,
Havasu Heights Domestic Water Improvement District,881,86404,
Horizon Six Domestic Water Improvement District,2345,86406,
Cerbat Water Company,461,86409,
So Hi Domestic Water Improvement District,16,86413,
Paradise Trails Pioneer Valley Ws,1705,86413,
Az State Prison - Geo Group - Kingman,1632,86413,
Oatman Water Company,5422,86413,
Katherine Resorts Landing,5,86413,
Epcor Water - Camp Mohave,959,86426,
Epcor Water - Rio Vista Ranches,1003,86426,
Sunrise Vista Utilities,1045,86426,
Snowbird Rv Park,7,86426,
Epcor Water - Desert Foothills,29,86429,
Katherine Landing Dwtp,1133,86429,
Katherine Heights,971,86429,
Beaver Dam Water Company System 1,1606,86432,
Biasi Water Company,1757,86432,
Beaver Dam East Domestic Water Improvement District,1623,86432,
Sun Shiners Mobile Home Park,1983,86432,
Virgin Mountain Estates Mobile Home Park,24,86432,
Chief Sleep Easy Tp,1853,86432,
Beaver Dam Filling Station,2011,86432,
Epcor Water-willow Valley / King Street,567,86440,
Fort Mojave Tribal Utility Authority,1926,86440,
Lagoon Estates Water Company Unit 2,1045,86440,
Golden Shores Water Company,2494,86440,
Silverview Rv Park,44,86442,
Silver Creek Rv Park,97,86442,
White Hills Water Company Unit 1,2585,86445,
Ghr Landowners Association Water Co-op,1991,86445,
Chenowith People's Utility District,111,97001,41065
City of The Dalles,601,97001,41065
Dufur City of,16,97001,41065
Dufur South Basin,89,97001,41065
Foley Lakes Mobile Home Park,0,97001,41065
Hazel Dell Orchard,36,97001,41065
Maupin City Of,40,97001,41065
Mosier City of,15,97001,41065
Rowena Crest Manor,7,97001,41065
Rowena Dell Water System,8,97001,41065
Sportsmans Park Water Association,2398,97001,41065
Tooley Water District,91,97001,41065
Tygh Valley Water District,485,97001,41065
View Point Trailer Court,3,97001,41065
Wamic Water Association,14,97001,41065
Young Life,1531,97001,41065
Salem Public Works,1130,97002,41047
North Clackamas County Water Commission,249,97002,41047
South Fork Water Board,418,97002,41047
Clackamas River Water - Clackamas,968,97002,41047
City of Keizer,342,97002,41047
Lake Oswego Municipal Water,369,97002,41047
Oregon City,1236,97002,41047
Oak Lodge Water District,1154,97002,41047
City of West Linn,1246,97002,41047
Banks Water Department,122,97003,41067
City of Beaverton,1002,97003,41067
City of Cornelius,989,97003,41067
City of Forest Grove,850,97003,41067
City of Hillsboro,884,97003,41067
City of Sherwood,399,97003,41067
City of Tigard,425,97003,41067
City of Tualatin,1252,97003,41067
Crown Mobile Home Park,1013,97003,41067
Fir Grove Homeowners Association,487,97003,41067
Gaston City of,463,97003,41067
Hillsboro-cherry Grove,290,97003,41067
Joint Water Commission,256,97003,41067
La Water Co-op,480,97003,41067
Laurel Acres Water Company Inc.,39,97003,41067
Laurelwood Water Users,40,97003,41067
North Plains Water Department,4752,97003,41067
Parrett Mountain View Estates,0,97003,41067
Rainbow Ends Water System,0,97003,41067
Raleigh Water District,436,97003,41067
Star Satellite Improvement District,0,97003,41067
Timber Water Association,401,97003,41067
Tualatin Valley Water District,1184,97003,41067
West Laurel Acres Water Company,14,97003,41067
West Slope Water District,1117,97003,41067
Westview Mobile Estates,2,97003,41067
Wolsborn Farms Water District,34,97003,41067
City of Milwaukie,166,97004,41005
City of Wilsonville,297,97004,41005
Cty of Gresham,988,97009,41005
Rockwood People's Utilities Department,924,97009,41005
Aldridge Ditch Company Ws,9,97014,41027
Cascade Locks City of,13,97014,41027
Wapato Moorage Association,5,97014,41027
Manna House Church,306,97014,41027
City of Troutdale,119,97014,41027
Corbett Water District,451,97014,41027
Fairview City of,104,97014,41027
Hood River City of,9,97014,41027
Ice Fountain Water District,0,97014,41027
Interlachen Water People's Utility District,4,97014,41027
Lorna Portland Water LLC,1987,97014,41027
Lusted Water District,1101,97014,41027
Mayfair Moorage Inc.,1444,97014,41027
Odell Water Company,87,97014,41027
Palatine Hill Water District,1283,97014,41027
Parkdale Water Company Inc.,10,97014,41027
Sigler Cove Marina,1,97014,41027
Pleasant Home Water District,1109,97014,41027
Rocky Pointe Marina,796,97014,41027
Sauvie Island Moorage,1251,97014,41027
Terrand Mobile Terrace,500,97014,41027
Wood Village City of,234,97014,41027
City of St. Helens,207,97016,41009
Astoria City of,824,97016,41009
Warrenton City of,508,97016,41009
Scappoose City of,170,97016,41009
Seaside Water Department,379,97016,41009
Youngs River Lewis & Clark Water District,751,97016,41009
Vernonia City of,626,97016,41009
Clatskanie City of,491,97016,41009
Mcnulty Water People's Utility District,1543,97016,41009
Warren Water Association,0,97016,41009
City of Woodburn,1322,97020,41047
Suburban East Salem WD,1089,97020,41047
Silverton City of,118,97020,41047
Stayton Water Supply,356,97020,41047
Mount Angel City of,23,97020,41047
Aumsville City of,988,97020,41047
Hubbard City of,2304,97020,41047
Sublimity City of,2,97020,41047
Grass Valley Water System,311,97029,41055
Moro City of,236,97029,41055
Rufus Public Works,413,97029,41055
Wasco City of,270,97029,41055
McMinnville Water & Light,835,97101,41071
City of Newberg,587,97101,41071
City of Dallas,897,97101,41071
Monmouth City of,125,97101,41071
Arch Cape Water District,580,97102,41007
Burnside Water Association,658,97102,41007
Cannon Beach City of,62,97102,41007
Elderberry Nehalem Ws,9,97102,41007
Evergreen Acres,345,97102,41007
Fernhill Community Water System,626,97102,41007
Gearhart Water Department,785,97102,41007
John Day Water District,519,97102,41007
Knappa Water Association,2,97102,41007
Olney-walluski Water Association,498,97102,41007
Stanley Acres Water Association,479,97102,41007
Sunset Lake Rv Park,2788,97102,41007
Wauna Water District,8,97102,41007
Westport Heights,5,97102,41007
Westport Water Association,21,97102,41007
Wickiup Water District,376,97102,41007
Willow Dale Water District,575,97102,41007
Tillamook Water Department City of,65,97107,41057
Manzanita Water Department,15,97107,41057
Netarts Water District,286,97107,41057
Nehalem City of,797,97107,41057
Sheridan City of,263,97111,41071
Lafayette City of,691,97111,41071
Dundee City of,30,97111,41071
City of Corvallis,591,97321,41043
City of Albany,898,97321,41043
City of Lebanon,710,97321,41043
Sweet Home City of,172,97321,41043
Philomath Public Works,496,97321,41043
Harrisburg City of,1250,97321,41043
Luckiamute Domestic Water Co-op,312,97321,41043
Lyons Mehama Water District,173,97322,41043
Eugene Water & Electric Board,634,97324,41003
Springfield Utility Board,512,97324,41003
Lincoln City Water District,1005,97324,41003
City of Newport,820,97324,41003
Cottage Grove City of,340,97324,41003
Florence City of,975,97324,41003
Rainbow Water District,966,97324,41003
Seal Rock Water District,242,97324,41003
Adair Village Water System,289,97330,41003
Cascade View Estates,8,97330,41003
Dumbeck Lane Domestic Water Supply District,981,97330,41003
Fir View Water Company,24,97330,41003
Jackson Creek Water Association,445,97330,41003
Knoll Terrace Park,594,97330,41003
Monroe City of,757,97330,41003
North Corvallis Mobile Home Park-well #1,201,97330,41003
Raintree Estates,2,97330,41003
Ridgewood District Improvement Company,1,97330,41003
Vineyard Mountain Water,55,97330,41003
Brownsville City of,191,97333,41003
Mill City Water Department,17,97333,41003
City Of Millersburg,854,97333,41003
Buell-red Prairie Water District,1585,97338,41053
Falls City City of,2511,97338,41053
Perrydale Domestic Water Association,1515,97338,41053
Pioneer Park Co-op Inc.,14,97338,41053
Rickreall Water Association,463,97338,41053
Rock Creek Water District,544,97338,41053
Bay Hills Water Association,752,97341,41041
Beverly Beach Water District,381,97341,41041
Carmel Beach Water District,144,97341,41041
Depoe Bay City of,366,97341,41041
Fall Creek Water District,338,97341,41041
Guptil Subdivision,38,97341,41041
Hiland Water Company - Bear Creek,216,97341,41041
Inn At Otter Crest,661,97341,41041
Johnson Creek Water Service,553,97341,41041
Kernville-gleneden-linc Bch Water District,402,97341,41041
Kozy Acres Water System,6,97341,41041
Lower Siletz Water System,285,97341,41041
Otter Rock Water District,12,97341,41041
Panther Creek Water District,372,97341,41041
Salmon River Mobile Village,12,97341,41041
Sea Crest,548,97341,41041
Siletz City of,525,97341,41041
Sw Lincoln County Water District,172,97341,41041
Toledo Water Utilities,142,97341,41041
Waldport City of,184,97341,41041
Yachats City of,118,97341,41041
Creswell City of,378,97390,41041
Veneta City of,202,97401,41039
Heceta Water Peoples Utility District,220,97401,41039
Oakridge City of,46,97401,41039
Brookings City of,62,97406,41015
Gold Beach City of,160,97406,41015
Harbor Water People's Utility District,56,97406,41015
Langlois Water District,637,97406,41015
Nesika Beach-ophir Water District,30,97406,41015
Old Sheep Ranch Water Association,27,97406,41015
